region_grp,n_countries,n_with_n_use,n_with_cropland,n_with_exposure,cropland_Mha,cropland_Mha_with_exposure,pct_cropland_covered
Central Asia,5,5,5,5,38.18137273333333,38.18137273333333,100.0
East & Southeast Asia,19,17,18,16,253.53084876666662,253.33855543333328,99.92415387150369
Europe,47,40,43,38,287.9763099333333,286.11516213333334,99.35371496341807
Latin America & Caribbean,45,38,43,33,174.51960496666666,174.38169796666668,99.92097907852455
North Africa & West Asia,25,24,25,22,90.1123011,81.50307489999999,90.44611435408122
Northern America,5,4,4,3,196.85003,196.84803,99.99898399812284
Oceania,25,16,23,15,33.45689333333333,33.42808333333334,99.91388919553002
South Asia,8,8,8,8,221.41600383333332,221.41600383333332,100.0
Sub-Saharan Africa,52,49,52,48,270.6030585,269.4202521666666,99.56289986525287
