shift_pct,low_threshold,high_threshold,exposure_class,n_countries,cropland_Mha
-30,0.231,0.462,low,32,609.0539368333333
-30,0.231,0.462,moderate,26,476.69856716666663
-30,0.231,0.462,high,130,468.87972850000006
-30,0.231,0.462,data_missing,43,12.014190666666668
-20,0.264,0.528,low,32,609.0539368333333
-20,0.264,0.528,moderate,85,725.1614042
-20,0.264,0.528,high,71,220.41689146666667
-20,0.264,0.528,data_missing,43,12.014190666666668
-10,0.297,0.594,low,35,618.7625197666666
-10,0.297,0.594,moderate,117,819.3253101333333
-10,0.297,0.594,high,36,116.54440259999998
-10,0.297,0.594,data_missing,43,12.014190666666668
0,0.33,0.66,low,39,641.7067114333333
0,0.33,0.66,moderate,137,910.2929845
0,0.33,0.66,high,12,2.632536566666667
0,0.33,0.66,data_missing,43,12.014190666666668
10,0.363,0.726,low,44,964.6594914333333
10,0.363,0.726,moderate,136,588.1909944333333
10,0.363,0.726,high,8,1.7817466333333334
10,0.363,0.726,data_missing,43,12.014190666666668
20,0.396,0.792,low,52,1044.1087050666667
20,0.396,0.792,moderate,129,508.8667808
20,0.396,0.792,high,7,1.6567466333333334
20,0.396,0.792,data_missing,43,12.014190666666668
30,0.429,0.858,low,56,1049.7936778
30,0.429,0.858,moderate,129,503.7881540333333
30,0.429,0.858,high,3,1.0504006666666668
30,0.429,0.858,data_missing,43,12.014190666666668
